username	password	first_name	last_name	role
owner	owner	O	Owner	inventory clerk,salesperson,manager
user01	pass01	Mitzie	Wenner	manager
user02	pass02	Paris	Dubaldi	inventory clerk
user03	pass03	Roslyn	Colaizzo	salesperson
user04	pass04	Chantell	Haroldson	salesperson
user05	pass05	Gearldine	Paa	inventory clerk
user06	pass06	Delisa	Demesa	salesperson
user07	pass07	Caitlin	Poquette	inventory clerk
user08	pass08	Kristofer	Leto	manager
user09	pass09	Leonida	Gesick	inventory clerk
user10	pass10	Colette	Berganza	inventory clerk
user11	pass11	Fletcher	Luczki	inventory clerk
user12	pass12	Bulah	Jillson	inventory clerk
user13	pass13	Glory	Nayar	inventory clerk
user14	pass14	Fatima	Hughey	manager
user15	pass15	Yoko	Ferrario	inventory clerk
user16	pass16	Britt	Threets	salesperson
user17	pass17	Donte	Plumer	inventory clerk
user18	pass18	Cristal	Dopico	inventory clerk
user19	pass19	Carey	Ketelsen	salesperson
user20	pass20	Angella	Agramonte	inventory clerk
user21	pass21	Buddy	Karpin	inventory clerk
user22	pass22	Fletcher	Sawchuk	manager
user23	pass23	Yoko	Leinenbach	salesperson
user24	pass24	Taryn	Whobrey	inventory clerk
user25	pass25	Mari	Mcrae	salesperson
